,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
334,Caleb Okoli,ITA,DF,Leicester City,23-157,2001,10,9,784,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,21,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
335,Robin Olsen,SWE,GK,Aston Villa,34-344,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
336,Amadou Onana,BEL,MF,Aston Villa,23-123,2001,11,10,720,8.0,2,0,2,2,0,0,3,0,1.6,1.6,0.1,1.7,9,23,7,0.25,0.00,0.25,0.25,0.25,0.20,0.02,0.21,0.20,0.21
337,André Onana,CMR,GK,Manchester Utd,28-259,1996,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
338,Paul Onuachu,NGA,FW,Southampton,30-203,1994,6,1,114,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06
339,Frank Onyeka,NGA,MF,Brentford,26-351,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
340,Stefan Ortega,GER,GK,Manchester City,32-041,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
341,William Osula,DEN,"FW,MF",Newcastle Utd,21-135,2003,5,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26
342,Dango Ouattara,BFA,"FW,DF",Bournemouth,22-310,2002,13,5,612,6.8,2,2,4,2,0,0,0,0,3.3,3.3,3.2,6.5,31,16,73,0.29,0.29,0.59,0.29,0.59,0.49,0.47,0.95,0.49,0.95
343,Cole Palmer,ENG,MF,Chelsea,22-225,2002,16,16,1387,15.4,11,6,17,8,3,3,3,0,10.3,7.9,5.9,13.9,53,99,74,0.71,0.39,1.10,0.52,0.91,0.67,0.38,1.05,0.52,0.90
344,Emerson Palmieri,ITA,DF,West Ham,30-136,1994,15,14,1105,12.3,1,1,2,1,0,0,5,0,1.1,1.1,1.0,2.1,19,31,47,0.08,0.08,0.16,0.08,0.16,0.09,0.08,0.17,0.09,0.17
345,Lucas Paquetá,BRA,MF,West Ham,27-112,1997,16,13,1124,12.5,3,0,3,1,2,2,4,0,3.4,1.8,1.7,3.5,10,65,41,0.24,0.00,0.24,0.08,0.08,0.27,0.14,0.41,0.14,0.28
346,Thomas Partey,GHA,"MF,DF",Arsenal,31-187,1993,15,13,1219,13.5,2,1,3,2,0,0,2,0,1.2,1.2,1.3,2.5,8,86,13,0.15,0.07,0.22,0.15,0.22,0.09,0.09,0.19,0.09,0.19
347,Nathan Patterson,SCO,DF,Everton,23-062,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.87,0.00,0.87
348,Andreas Pereira,BRA,MF,Fulham,28-351,1996,15,13,1011,11.2,2,0,2,2,0,1,5,0,2.8,2.0,2.0,4.1,11,57,46,0.18,0.00,0.18,0.18,0.18,0.25,0.18,0.43,0.18,0.36
349,Ricardo Pereira,POR,DF,Leicester City,31-072,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
350,Kalvin Phillips,ENG,MF,Ipswich Town,29-015,1995,7,7,537,6.0,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,27,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
351,Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,22-313,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20
352,Jordan Pickford,ENG,GK,Everton,30-285,1994,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
353,Ethan Pinnock,JAM,DF,Brentford,31-202,1993,16,16,1440,16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13
354,Daniel Podence,POR,"MF,FW",Wolves,29-057,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
355,Alfie Pond,ENG,DF,Wolves,20-291,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
356,Nick Pope,ENG,GK,Newcastle Utd,32-242,1992,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
357,Pedro Porro,ESP,DF,Tottenham,25-095,1999,16,14,1348,15.0,2,2,4,2,0,0,2,0,1.2,1.2,1.5,2.7,38,79,50,0.13,0.13,0.27,0.13,0.27,0.08,0.10,0.18,0.08,0.18
358,Jarell Quansah,ENG,DF,Liverpool,21-323,2003,4,2,174,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
359,Aaron Ramsdale,ENG,GK,Southampton,26-217,1998,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
360,Jacob Ramsey,ENG,"FW,MF",Aston Villa,23-203,2001,10,7,633,7.0,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,28,28,54,0.00,0.28,0.28,0.00,0.28,0.10,0.18,0.28,0.10,0.28
361,Marcus Rashford,ENG,"FW,MF",Manchester Utd,27-047,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35
362,David Raya,ESP,GK,Arsenal,29-093,1995,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
363,Harrison Reed,ENG,MF,Fulham,29-325,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13
364,Bobby Reid,JAM,"FW,MF",Leicester City,31-319,1993,11,2,240,2.7,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,6,7,13,0.37,0.00,0.37,0.37,0.37,0.27,0.05,0.32,0.27,0.32
365,Chadi Riad,MAR,DF,Crystal Palace,21-183,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366,Declan Rice,ENG,MF,Arsenal,25-338,1999,14,14,1163,12.9,0,2,2,0,0,0,5,1,1.0,1.0,2.8,3.7,39,87,39,0.00,0.15,0.15,0.00,0.15,0.07,0.21,0.29,0.07,0.29
367,Chris Richards,USA,DF,Crystal Palace,24-264,2000,6,4,355,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
368,Richarlison,BRA,FW,Tottenham,27-221,1997,5,0,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,4,5,12,0.00,1.00,1.00,0.00,1.00,0.19,0.76,0.95,0.19,0.95
369,Andrew Robertson,SCO,DF,Liverpool,30-281,1994,14,13,1041,11.6,0,0,0,0,0,0,1,1,0.5,0.5,2.2,2.7,23,69,30,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.23,0.04,0.23
370,Antonee Robinson,USA,DF,Fulham,27-131,1997,16,16,1440,16.0,0,6,6,0,0,0,3,0,0.3,0.3,2.5,2.8,43,56,112,0.00,0.37,0.37,0.00,0.37,0.02,0.16,0.17,0.02,0.17
371,Rodri,ESP,MF,Manchester City,28-178,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
372,Guido Rodríguez,ARG,MF,West Ham,30-249,1994,14,11,823,9.1,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,2,27,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
373,Mads Roerslev,DEN,DF,Brentford,25-176,1999,12,5,542,6.0,0,1,1,0,0,0,1,0,0.0,0.0,1.8,1.8,8,33,33,0.00,0.17,0.17,0.00,0.17,0.00,0.30,0.30,0.00,0.30
374,Morgan Rogers,ENG,"MF,FW",Aston Villa,22-144,2002,16,16,1311,14.6,4,2,6,4,0,0,4,0,3.2,3.2,3.3,6.5,49,55,81,0.27,0.14,0.41,0.27,0.41,0.22,0.22,0.45,0.22,0.45
375,Cristian Romero,ARG,DF,Tottenham,26-234,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15
376,Georginio Rutter,FRA,"FW,MF",Brighton,22-241,2002,15,12,924,10.3,2,2,4,2,0,0,2,0,2.6,2.6,1.3,4.0,26,41,50,0.19,0.19,0.39,0.19,0.39,0.26,0.13,0.38,0.26,0.38
377,José Sá,POR,GK,Wolves,31-335,1993,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
378,Bukayo Saka,ENG,"FW,MF",Arsenal,23-103,2001,15,15,1245,13.8,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,70,53,193,0.36,0.72,1.08,0.29,1.01,0.30,0.42,0.72,0.25,0.67
379,Mohamed Salah,EGY,FW,Liverpool,32-185,1992,15,15,1316,14.6,13,9,22,9,4,4,1,0,10.6,7.5,5.6,13.1,55,51,156,0.89,0.62,1.50,0.62,1.23,0.73,0.38,1.11,0.51,0.90
380,William Saliba,FRA,DF,Arsenal,23-268,2001,15,15,1289,14.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.3,7,52,2,0.14,0.00,0.14,0.14,0.14,0.13,0.03,0.16,0.13,0.16
381,Robert Sánchez,ESP,GK,Chelsea,27-029,1997,15,15,1350,15.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
382,Jadon Sancho,ENG,FW,Chelsea,24-267,2000,10,7,580,6.4,2,3,5,2,0,0,1,0,0.7,0.7,2.0,2.7,40,35,77,0.31,0.47,0.78,0.31,0.78,0.11,0.31,0.42,0.11,0.42
383,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,27-015,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
384,Pablo Sarabia,ESP,"MF,FW",Wolves,32-220,1992,5,2,181,2.0,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.9,4,12,13,0.50,0.00,0.50,0.50,0.50,0.71,0.22,0.93,0.71,0.93
385,Jeremy Sarmiento,ECU,MF,Brighton,22-184,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,26-296,1998,16,9,915,10.2,3,2,5,3,0,0,3,0,3.0,3.0,2.7,5.7,28,27,69,0.30,0.20,0.49,0.30,0.49,0.29,0.27,0.56,0.29,0.56
387,Sávio,BRA,"FW,MF",Manchester City,20-251,2004,13,9,713,7.9,0,2,2,0,0,0,2,0,2.1,2.1,3.5,5.6,67,35,105,0.00,0.25,0.25,0.00,0.25,0.26,0.44,0.71,0.26,0.71
388,Oliver Scarles,ENG,DF,West Ham,19-005,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
389,Kevin Schade,GER,"FW,MF",Brentford,23-020,2001,16,7,678,7.5,4,2,6,4,0,0,2,0,3.5,3.5,1.1,4.5,21,11,52,0.53,0.27,0.80,0.53,0.80,0.46,0.14,0.60,0.46,0.60
390,Fabian Schär,SUI,DF,Newcastle Utd,32-363,1991,14,14,1197,13.3,2,0,2,2,0,0,4,1,1.1,1.1,0.2,1.3,8,48,9,0.15,0.00,0.15,0.15,0.15,0.09,0.02,0.10,0.09,0.10
391,Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31-360,1992,10,0,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,7,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.22,0.12,0.22
392,Alex Scott,ENG,MF,Bournemouth,21-118,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12
393,Matz Sels,BEL,GK,Nott'ham Forest,32-295,1992,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
394,Nélson Semedo,POR,DF,Wolves,31-031,1993,13,13,1139,12.7,0,2,2,0,0,0,5,0,0.4,0.4,1.2,1.6,23,31,31,0.00,0.16,0.16,0.00,0.16,0.03,0.10,0.13,0.03,0.13
395,Antoine Semenyo,GHA,FW,Bournemouth,24-345,2000,15,15,1298,14.4,4,1,5,4,0,0,5,0,4.8,4.8,2.8,7.6,66,40,128,0.28,0.07,0.35,0.28,0.35,0.33,0.20,0.53,0.33,0.53
396,Marcos Senesi,ARG,DF,Bournemouth,27-221,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12
397,Ryan Sessegnon,ENG,MF,Fulham,24-213,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
398,Luke Shaw,ENG,DF,Manchester Utd,29-158,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
399,Bernardo Silva,POR,"MF,FW",Manchester City,30-129,1994,16,14,1286,14.3,1,4,5,1,0,0,4,0,2.4,2.4,3.7,6.1,57,70,123,0.07,0.28,0.35,0.07,0.35,0.17,0.26,0.43,0.17,0.43
400,Jota Silva,POR,"FW,MF",Nott'ham Forest,25-138,1999,15,3,502,5.6,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.8,16,12,32,0.00,0.18,0.18,0.00,0.18,0.09,0.23,0.33,0.09,0.33
401,Eric da Silva Moreira,GER,"MF,DF",Nott'ham Forest,18-228,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402,Jahmai Simpson-Pusey,ENG,DF,Manchester City,19-043,2005,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403,Luis Sinisterra,COL,"FW,MF",Bournemouth,25-183,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92
404,Oliver Skipp,ENG,MF,Leicester City,24-092,2000,10,6,637,7.1,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.2,11,18,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
405,William Smallbone,IRL,MF,Southampton,24-300,2000,4,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,8,12,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.23,0.11,0.23
406,Adam Smith,ENG,DF,Bournemouth,33-232,1991,16,11,990,11.0,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.7,6,29,14,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
407,Emile Smith Rowe,ENG,MF,Fulham,24-142,2000,16,14,1090,12.1,3,2,5,3,0,0,1,0,2.2,2.2,1.0,3.1,35,74,63,0.25,0.17,0.41,0.25,0.41,0.18,0.08,0.26,0.18,0.26
408,Dominic Solanke,ENG,FW,Tottenham,27-094,1997,13,13,1148,12.8,5,2,7,5,0,0,0,0,7.0,7.0,1.6,8.6,20,28,53,0.39,0.16,0.55,0.39,0.55,0.55,0.13,0.68,0.55,0.68
409,Carlos Soler,ESP,MF,West Ham,27-350,1997,13,6,607,6.7,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,8,28,17,0.00,0.15,0.15,0.00,0.15,0.11,0.13,0.24,0.11,0.24
410,Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,25-108,1999,10,0,150,1.7,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,7,4,12,0.60,0.00,0.60,0.60,0.60,0.41,0.25,0.66,0.41,0.66
411,Tomáš Souček,CZE,MF,West Ham,29-294,1995,15,12,1075,11.9,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,2,38,29,0.33,0.00,0.33,0.33,0.33,0.23,0.04,0.27,0.23,0.27
412,Boubakary Soumaré,FRA,MF,Leicester City,25-294,1999,9,5,475,5.3,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,20,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
413,Djed Spence,ENG,DF,Tottenham,24-130,2000,5,1,141,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,9,13,10,0.00,0.64,0.64,0.00,0.64,0.04,0.35,0.39,0.04,0.39
414,Jay Stansfield,ENG,MF,Fulham,22-023,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415,Jason Steele,ENG,GK,Brighton,34-121,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,Jack Stephens,ENG,DF,Southampton,30-325,1994,10,10,793,8.8,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
417,Raheem Sterling,ENG,"MF,FW",Arsenal,30-009,1994,6,2,148,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,10,6,19,0.00,0.61,0.61,0.00,0.61,0.31,0.10,0.41,0.31,0.41
418,Ross Stewart,SCO,"FW,MF",Southampton,28-159,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
419,John Stones,ENG,"DF,MF",Manchester City,30-203,1994,7,3,286,3.2,2,0,2,2,0,0,1,0,0.4,0.4,0.0,0.4,8,11,1,0.63,0.00,0.63,0.63,0.63,0.14,0.00,0.14,0.14,0.14
420,Jørgen Strand Larsen,NOR,FW,Wolves,24-315,2000,16,16,1315,14.6,6,2,8,6,0,0,2,0,4.1,4.1,1.3,5.4,6,11,45,0.41,0.14,0.55,0.41,0.55,0.28,0.09,0.37,0.28,0.37
421,Yukinari Sugawara,JPN,DF,Southampton,24-172,2000,14,9,794,8.8,1,1,2,1,0,0,2,0,0.3,0.3,2.0,2.3,15,42,37,0.11,0.11,0.23,0.11,0.23,0.04,0.23,0.26,0.04,0.26
422,Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22-306,2002,6,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
423,Crysencio Summerville,NED,"FW,MF",West Ham,23-048,2001,15,6,607,6.7,1,1,2,1,0,0,2,0,1.3,1.3,1.5,2.8,24,13,54,0.15,0.15,0.30,0.15,0.30,0.19,0.22,0.41,0.19,0.41
424,Sammie Szmodics,IRL,FW,Ipswich Town,29-084,1995,14,10,745,8.3,3,0,3,3,0,0,2,0,2.9,2.9,0.1,3.0,12,15,42,0.36,0.00,0.36,0.36,0.36,0.35,0.02,0.36,0.35,0.36
425,Dominik Szoboszlai,HUN,MF,Liverpool,24-053,2000,15,11,1028,11.4,1,1,2,1,0,0,3,0,1.9,1.9,2.3,4.2,34,51,39,0.09,0.09,0.18,0.09,0.18,0.17,0.20,0.37,0.17,0.37
426,James Tarkowski,ENG,DF,Everton,32-028,1992,15,15,1341,14.9,0,0,0,0,0,0,3,0,0.7,0.7,1.3,2.0,2,31,2,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14
427,Marcus Tavernier,ENG,"FW,MF",Bournemouth,25-270,1999,15,13,1140,12.7,1,4,5,1,0,0,2,0,4.1,4.1,2.6,6.7,26,70,83,0.08,0.32,0.39,0.08,0.39,0.32,0.20,0.53,0.32,0.53
428,Charlie Taylor,ENG,DF,Southampton,31-090,1993,6,2,221,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
429,Jack Taylor,IRL,MF,Ipswich Town,26-177,1998,11,1,307,3.4,1,0,1,1,0,0,3,0,0.5,0.5,0.5,1.1,8,26,7,0.29,0.00,0.29,0.29,0.29,0.15,0.16,0.31,0.15,0.31
430,Kenny Tete,NED,DF,Fulham,29-069,1995,15,15,1262,14.0,0,2,2,0,0,0,3,0,1.0,1.0,0.7,1.8,33,42,39,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.13,0.07,0.13
431,Thiago,BRA,FW,Brentford,23-174,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11
432,Luke Thomas,ENG,DF,Leicester City,23-190,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
433,Youri Tielemans,BEL,MF,Aston Villa,27-224,1997,16,16,1374,15.3,0,4,4,0,0,1,3,0,1.4,0.6,4.0,4.6,19,107,15,0.00,0.26,0.26,0.00,0.26,0.09,0.26,0.35,0.04,0.30
434,Jurriën Timber,NED,DF,Arsenal,23-183,2001,14,13,1130,12.6,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.3,23,58,42,0.08,0.08,0.16,0.08,0.16,0.05,0.05,0.10,0.05,0.10
435,Jean-Clair Todibo,FRA,DF,West Ham,24-353,1999,11,7,652,7.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
436,Harry Toffolo,ENG,DF,Nott'ham Forest,29-120,1995,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
437,Takehiro Tomiyasu,JPN,DF,Arsenal,26-042,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37
438,Sandro Tonali,ITA,MF,Newcastle Utd,24-223,2000,14,7,741,8.2,0,1,1,0,0,0,4,0,1.2,1.2,0.3,1.5,5,28,20,0.00,0.12,0.12,0.00,0.12,0.15,0.04,0.18,0.15,0.18
439,Pau Torres,ESP,DF,Aston Villa,27-336,1997,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,30,68,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
440,Conor Townsend,ENG,MF,Ipswich Town,31-288,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.00,1.60
441,Adama Traoré,ESP,"FW,MF",Fulham,28-327,1996,15,10,821,9.1,1,3,4,1,0,0,2,0,2.8,2.8,2.2,5.0,44,31,71,0.11,0.33,0.44,0.11,0.44,0.31,0.24,0.55,0.31,0.55
442,Mark Travers,IRL,GK,Bournemouth,25-213,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443,Ryan Trevitt,ENG,MF,Brentford,21-280,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444,Kieran Trippier,ENG,DF,Newcastle Utd,34-089,1990,8,3,321,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,6,24,18,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
445,Leandro Trossard,BEL,FW,Arsenal,30-013,1994,16,10,850,9.4,3,1,4,3,0,0,2,1,2.9,2.9,1.7,4.6,29,41,68,0.32,0.11,0.42,0.32,0.42,0.31,0.18,0.49,0.31,0.49
446,Kostas Tsimikas,GRE,DF,Liverpool,28-219,1996,6,2,232,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,28,6,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.23,0.03,0.23
