,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
152,Enzo Fernández,ARG,MF,Chelsea,23-335,2001,11.8,3,15,6,40.0,1.27,0.51,0.20,0.50,16.3,1,0,0,1.7,1.7,0.11,+1.3,+1.3
153,Mark Flekken,NED,GK,Brentford,31-187,1993,16.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
154,Phil Foden,ENG,"MF,FW",Manchester City,24-203,2000,8.0,0,24,3,12.5,3.00,0.37,0.00,0.00,18.7,0,0,0,1.6,1.6,0.07,-1.6,-1.6
155,Wesley Fofana,FRA,DF,Chelsea,24-000,2000,11.3,0,2,0,0.0,0.18,0.00,0.00,0,10.4,0,0,0,0.4,0.4,0.20,-0.4,-0.4
156,Carlos Forbs,POR,"MF,FW",Wolves,20-273,2004,2.3,0,1,0,0.0,0.44,0.00,0.00,0,15.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
157,Fraser Forster,ENG,GK,Tottenham,36-275,1988,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
158,Ryan Fraser,SCO,"FW,DF",Southampton,30-297,1994,3.4,0,1,1,100.0,0.30,0.30,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0
159,Niclas Füllkrug,GER,FW,West Ham,31-312,1993,1.3,1,4,2,50.0,3.19,1.59,0.25,0.50,10.3,0,0,0,0.8,0.8,0.19,+0.2,+0.2
160,Cody Gakpo,NED,FW,Liverpool,25-224,1999,7.7,3,24,8,33.3,3.13,1.04,0.13,0.38,15.7,0,0,0,2.9,2.9,0.12,+0.1,+0.1
161,Idrissa Gana Gueye,SEN,MF,Everton,35-082,1989,11.9,0,14,2,14.3,1.18,0.17,0.00,0.00,24.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7
162,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,20-169,2004,10.5,3,36,15,41.7,3.44,1.43,0.08,0.20,16.4,0,0,0,4.0,4.0,0.11,-1.0,-1.0
163,James Garner,ENG,"DF,MF",Everton,23-279,2001,2.8,0,2,0,0.0,0.71,0.00,0.00,0,29.3,1,0,0,0.0,0.0,0.02,0.0,0.0
164,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24-325,2000,10.4,2,23,11,47.8,2.22,1.06,0.09,0.18,16.7,2,0,0,1.6,1.6,0.07,+0.4,+0.4
165,Billy Gilmour,SCO,MF,Brighton,23-189,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,0,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
166,João Gomes,BRA,MF,Wolves,23-309,2001,14.1,2,15,5,33.3,1.07,0.36,0.13,0.40,19.9,0,0,0,1.0,1.0,0.07,+1.0,+1.0
167,Rodrigo Gomes,POR,"DF,FW",Wolves,21-163,2003,3.0,0,2,0,0.0,0.66,0.00,0.00,0,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
168,Toti Gomes,POR,DF,Wolves,25-336,1999,12.0,0,2,0,0.0,0.17,0.00,0.00,0,25.7,0,0,0,0.0,0.0,0.01,0.0,0.0
169,Joe Gomez,ENG,DF,Liverpool,27-208,1997,3.4,0,3,2,66.7,0.89,0.59,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3
170,Anthony Gordon,ENG,FW,Newcastle Utd,23-297,2001,13.1,3,26,10,38.5,1.98,0.76,0.08,0.20,16.8,0,1,2,4.9,3.3,0.13,-1.9,-1.3
171,Ryan Gravenberch,NED,MF,Liverpool,22-215,2002,14.7,0,7,2,28.6,0.48,0.14,0.00,0.00,23.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6
172,Archie Gray,ENG,"DF,MF",Tottenham,18-280,2006,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
173,Jack Grealish,ENG,"FW,MF",Manchester City,29-098,1995,5.4,0,9,3,33.3,1.68,0.56,0.00,0.00,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
174,Jacob Greaves,ENG,DF,Ipswich Town,24-096,2000,8.0,0,6,2,33.3,0.75,0.25,0.00,0.00,9.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4
175,Brajan Gruda,GER,MF,Brighton,20-200,2004,1.0,0,1,0,0.0,1.03,0.00,0.00,0,24.8,1,0,0,0.1,0.1,0.05,-0.1,-0.1
176,Gonçalo Guedes,POR,"FW,MF",Wolves,28-018,1996,3.0,1,7,4,57.1,2.34,1.34,0.14,0.25,21.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5
177,Marc Guéhi,ENG,DF,Crystal Palace,24-157,2000,16.0,2,9,4,44.4,0.56,0.25,0.22,0.50,9.5,0,0,0,1.3,1.3,0.15,+0.7,+0.7
178,Luis Guilherme,BRA,MF,West Ham,18-312,2006,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
179,Bruno Guimarães,BRA,MF,Newcastle Utd,27-031,1997,15.5,1,19,5,26.3,1.22,0.32,0.05,0.20,19.3,0,0,0,1.8,1.8,0.09,-0.8,-0.8
180,Marc Guiu,ESP,FW,Chelsea,18-348,2006,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
181,İlkay Gündoğan,GER,MF,Manchester City,34-054,1990,11.6,0,15,3,20.0,1.30,0.26,0.00,0.00,17.9,2,0,0,1.6,1.6,0.11,-1.6,-1.6
182,Malo Gusto,FRA,DF,Chelsea,21-212,2003,10.6,0,15,2,13.3,1.41,0.19,0.00,0.00,22.2,0,0,0,1.1,1.1,0.08,-1.1,-1.1
183,Joško Gvardiol,CRO,DF,Manchester City,22-329,2002,14.5,4,22,8,36.4,1.52,0.55,0.18,0.50,15.0,0,0,0,1.7,1.7,0.08,+2.3,+2.3
184,Erling Haaland,NOR,FW,Manchester City,24-149,2000,16.0,13,69,36,52.2,4.32,2.25,0.17,0.33,12.1,1,1,1,13.0,12.2,0.19,0.0,-0.2
185,Lewis Hall,ENG,DF,Newcastle Utd,20-100,2004,13.6,0,5,0,0.0,0.37,0.00,0.00,0,14.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
186,Ali Al Hamadi,IRQ,FW,Ipswich Town,22-291,2002,0.8,0,1,0,0.0,1.22,0.00,0.00,0,12.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
187,Marcus Harness,ENG,MF,Ipswich Town,28-297,1996,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
188,Jack Harrison,ENG,FW,Everton,28-027,1996,8.1,0,13,2,15.4,1.60,0.25,0.00,0.00,15.0,0,0,0,1.6,1.6,0.12,-1.6,-1.6
189,Taylor Harwood-Bellis,ENG,DF,Southampton,22-322,2002,13.6,1,10,4,40.0,0.74,0.30,0.10,0.25,9.9,0,0,0,1.2,1.2,0.12,-0.2,-0.2
190,Kai Havertz,GER,FW,Arsenal,25-189,1999,14.8,5,35,13,37.1,2.36,0.88,0.14,0.38,11.8,0,0,0,5.9,5.9,0.17,-0.9,-0.9
191,Jan Paul van Hecke,NED,DF,Brighton,24-192,2000,12.9,0,8,2,25.0,0.62,0.16,0.00,0.00,17.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
192,Hwang Hee-chan,KOR,"MF,FW",Wolves,28-326,1996,3.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
193,Dean Henderson,ENG,GK,Crystal Palace,27-280,1997,16.0,0,1,0,0.0,0.06,0.00,0.00,0,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0
194,Mads Hermansen,DEN,GK,Leicester City,24-159,2000,15.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
195,Son Heung-min,KOR,FW,Tottenham,32-162,1992,10.9,5,30,16,53.3,2.74,1.46,0.17,0.31,16.6,0,0,0,3.5,3.5,0.12,+1.5,+1.5
196,James Hill,ENG,MF,Bournemouth,22-342,2002,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
197,Jack Hinshelwood,ENG,"MF,DF",Brighton,19-250,2005,9.3,1,7,3,42.9,0.75,0.32,0.14,0.33,15.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3
198,George Hirst,ENG,FW,Ipswich Town,25-306,1999,2.0,1,3,2,66.7,1.50,1.00,0.33,0.50,9.2,0,0,0,0.8,0.8,0.26,+0.2,+0.2
199,Mason Holgate,ENG,"FW,DF",Everton,28-056,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
200,Callum Hudson-Odoi,ENG,FW,Nott'ham Forest,24-040,2000,12.7,2,21,8,38.1,1.66,0.63,0.10,0.25,18.8,0,0,0,1.3,1.3,0.06,+0.7,+0.7
201,Will Hughes,ENG,MF,Crystal Palace,29-244,1995,9.8,0,10,1,10.0,1.02,0.10,0.00,0.00,22.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
202,Dean Huijsen,ESP,DF,Bournemouth,19-247,2005,5.8,1,5,1,20.0,0.86,0.17,0.20,1.00,11.0,0,0,0,0.9,0.9,0.18,+0.1,+0.1
203,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,21-048,2003,14.6,1,21,8,38.1,1.44,0.55,0.05,0.13,20.0,2,0,0,1.3,1.3,0.06,-0.3,-0.3
204,Rasmus Højlund,DEN,FW,Manchester Utd,21-317,2003,7.6,2,7,4,57.1,0.92,0.53,0.29,0.50,14.7,0,0,0,1.8,1.8,0.26,+0.2,+0.2
205,Igor,BRA,DF,Brighton,26-314,1998,8.3,0,1,0,0.0,0.12,0.00,0.00,0,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0
206,Danny Ings,ENG,FW,West Ham,32-147,1992,2.0,1,11,5,45.5,5.50,2.50,0.09,0.20,11.7,0,0,0,2.1,2.1,0.19,-1.1,-1.1
