,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
403,Luis Sinisterra,COL,"FW,MF",Bournemouth,25-183,1999,2.3,1,12,6,50.0,5.19,2.60,0.08,0.17,15.7,0,0,0,1.1,1.1,0.09,-0.1,-0.1
404,Oliver Skipp,ENG,MF,Leicester City,24-092,2000,7.1,0,2,1,50.0,0.28,0.14,0.00,0.00,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
405,William Smallbone,IRL,MF,Southampton,24-300,2000,2.7,0,4,0,0.0,1.49,0.00,0.00,0,19.3,1,0,0,0.3,0.3,0.08,-0.3,-0.3
406,Adam Smith,ENG,DF,Bournemouth,33-232,1991,11.0,0,1,0,0.0,0.09,0.00,0.00,0,10.2,0,0,0,0.6,0.6,0.60,-0.6,-0.6
407,Emile Smith Rowe,ENG,MF,Fulham,24-142,2000,12.1,3,18,4,22.2,1.49,0.33,0.17,0.75,15.3,0,0,0,2.2,2.2,0.12,+0.8,+0.8
408,Dominic Solanke,ENG,FW,Tottenham,27-094,1997,12.8,5,32,16,50.0,2.51,1.25,0.16,0.31,11.9,0,0,0,7.0,7.0,0.22,-2.0,-2.0
409,Carlos Soler,ESP,MF,West Ham,27-350,1997,6.7,0,16,4,25.0,2.37,0.59,0.00,0.00,21.0,1,0,0,0.7,0.7,0.05,-0.7,-0.7
410,Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,25-108,1999,1.7,1,6,2,33.3,3.60,1.20,0.17,0.50,19.7,0,0,0,0.7,0.7,0.12,+0.3,+0.3
411,Tomáš Souček,CZE,MF,West Ham,29-294,1995,11.9,4,30,7,23.3,2.51,0.59,0.13,0.57,11.5,0,0,0,2.7,2.7,0.10,+1.3,+1.3
412,Boubakary Soumaré,FRA,MF,Leicester City,25-294,1999,5.3,0,2,0,0.0,0.38,0.00,0.00,0,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
413,Djed Spence,ENG,DF,Tottenham,24-130,2000,1.6,0,1,0,0.0,0.64,0.00,0.00,0,15.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
414,Jay Stansfield,ENG,MF,Fulham,22-023,2002,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
415,Jason Steele,ENG,GK,Brighton,34-121,1990,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
416,Jack Stephens,ENG,DF,Southampton,30-325,1994,8.8,0,2,0,0.0,0.23,0.00,0.00,0,7.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3
417,Raheem Sterling,ENG,"MF,FW",Arsenal,30-009,1994,1.6,0,4,0,0.0,2.43,0.00,0.00,0,14.2,1,0,0,0.5,0.5,0.13,-0.5,-0.5
418,Ross Stewart,SCO,"FW,MF",Southampton,28-159,1996,1.5,0,2,0,0.0,1.36,0.00,0.00,0,12.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
419,John Stones,ENG,"DF,MF",Manchester City,30-203,1994,3.2,2,2,2,100.0,0.63,0.63,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6
420,Jørgen Strand Larsen,NOR,FW,Wolves,24-315,2000,14.6,6,26,16,61.5,1.78,1.10,0.23,0.38,12.1,0,0,0,4.1,4.1,0.16,+1.9,+1.9
421,Yukinari Sugawara,JPN,DF,Southampton,24-172,2000,8.8,1,7,2,28.6,0.79,0.23,0.14,0.50,19.3,1,0,0,0.3,0.3,0.04,+0.7,+0.7
